EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 1     0     -2    8     9     11    9     5    -2.268 0.467 -14.365 1.104 0.021 -0.025 0
 1     0     -2    8     9     11    9     5    -2.157 0.470 -13.902 1.072 0.022 -0.034 0
 1     0     -2    8     9     11    9     5    -2.046 0.484 -13.442 1.041 0.022 -0.042 0
 1     0     -2    8     9     11    9     5    -1.948 0.506 -12.980 1.011 0.021 -0.045 0
 -3    -4    -6    -7    -5    -12   -10   -3   -1.852 0.529 -12.525 0.981 0.020 -0.047 0
 -3    -4    -6    -7    -5    -12   -10   -3   -1.765 0.552 -12.068 0.951 0.019 -0.047 0
 -2    -1    -3    -6    -10   -36   -5    0    -1.681 0.583 -11.611 0.922 0.019 -0.048 0
 -2    -1    -3    -6    -10   -36   -5    0    -1.600 0.608 -11.150 0.893 0.019 -0.049 0
 -2    -1    -3    -6    -10   -36   -5    0    -1.538 0.618 -10.687 0.863 0.018 -0.047 0
 -2    -1    -3    -6    -10   -36   -5    0    -1.474 0.604 -10.228 0.833 0.018 -0.045 0
 4     2     3     6     8     23    -7    -5   -1.424 0.572 -9.769 0.801 0.017 -0.041 0
 4     2     3     6     8     23    -7    -5   -1.377 0.519 -9.319 0.769 0.016 -0.036 0
 4     2     3     6     8     23    -7    -5   -1.339 0.460 -8.868 0.737 0.015 -0.029 0
 -2    0     -2    -4    -11   -13   -25   -7   -1.297 0.387 -8.438 0.702 0.015 -0.024 0
 -2    0     -2    -4    -11   -13   -25   -7   -1.268 0.330 -8.010 0.667 0.014 -0.017 0
 -4    -1    -3    -2    -6    27    43    2    -1.232 0.274 -7.601 0.631 0.013 -0.010 0
 -4    -1    -3    -2    -6    27    43    2    -1.204 0.229 -7.192 0.596 0.012 -0.003 0
 -4    -1    -3    -2    -6    27    43    2    -1.173 0.197 -6.781 0.563 0.011 0.004 0
 -4    -1    -3    -2    -6    27    43    2    -1.151 0.172 -6.376 0.529 0.010 0.010 0
 -2    -4    -2    -7    -7    1     -19   -2   -1.130 0.158 -5.982 0.495 0.009 0.016 0
 -2    -4    -2    -7    -7    1     -19   -2   -1.105 0.153 -5.574 0.463 0.009 0.021 0
 -1    -1    2     4     -1    -12   -24   1    -1.084 0.157 -5.172 0.430 0.008 0.025 0
 -1    -1    2     4     -1    -12   -24   1    -1.065 0.165 -4.761 0.397 0.007 0.030 0
 -1    -1    2     4     -1    -12   -24   1    -1.044 0.171 -4.351 0.363 0.007 0.033 0
 -1    -1    2     4     -1    -12   -24   1    -1.025 0.177 -3.942 0.328 0.007 0.036 0
 -2    -2    -2    1     2     -24   -28   -19  -1.002 0.194 -3.510 0.295 0.007 0.037 0
 -2    -2    -2    1     2     -24   -28   -19  -0.979 0.214 -3.072 0.263 0.008 0.038 0
 -2    -2    -2    1     2     -24   -28   -19  -0.958 0.232 -2.611 0.232 0.009 0.042 0
 -1    -2    -3    -6    -6    -20   -16   -8   -0.939 0.251 -2.135 0.203 0.008 0.050 0
 -1    -2    -3    -6    -6    -20   -16   -8   -0.910 0.269 -1.649 0.175 0.008 0.058 0
 -11   -2    -5    -7    -8    -3    45    -9   -0.865 0.284 -1.145 0.152 0.007 0.065 0
 -11   -2    -5    -7    -8    -3    45    -9   -0.801 0.307 -0.635 0.133 0.007 0.070 0
 -11   -2    -5    -7    -8    -3    45    -9   -0.718 0.337 -0.121 0.119 0.007 0.070 0
 -11   -2    -5    -7    -8    -3    45    -9   -0.631 0.386 0.382 0.109 0.007 0.069 0
 8     4     5     9     15    -13   -38   -6   -0.534 0.450 0.859 0.101 0.008 0.062 0
 8     4     5     9     15    -13   -38   -6   -0.439 0.535 1.296 0.092 0.009 0.052 0
 3     -3    -2    -7    -5    28    -26   14   -0.363 0.623 1.689 0.082 0.010 0.040 0
 3     -3    -2    -7    -5    28    -26   14   -0.306 0.711 2.030 0.067 0.012 0.029 0
 3     -3    -2    -7    -5    28    -26   14   -0.300 0.799 2.315 0.040 0.013 0.039 0
 3     -3    -2    -7    -5    28    -26   14   -0.473 1.002 2.323 -0.151 0.024 0.176 0
 -8    -3    -5    -4    -1    9     14    -10  -0.218 0.958 2.605 -0.245 0.011 0.124 0
 -8    -3    -5    -4    -1    9     14    -10  0.036 0.550 3.474 -0.225 -0.001 0.157 0
 3     3     5     3     6     29    5     6    0.148 0.591 3.758 -0.263 0.003 0.148 0
 1     -3    -4    -2    11    39    51    20   0.476 0.636 4.725 -0.230 0.002 0.094 0
 1     -3    -4    -2    11    39    51    20   0.670 0.857 5.520 -0.222 0.019 0.074 0
 3     2     2     5     -16   -47   -49   -31  0.872 1.137 6.287 -0.224 0.035 0.029 0
 3     2     2     5     -16   -47   -49   -31  0.926 1.307 7.073 -0.195 0.029 0.031 0
 3     2     2     5     -16   -47   -49   -31  0.901 1.535 7.739 -0.200 0.021 0.068 0
 3     2     2     5     -16   -47   -49   -31  0.897 1.787 8.321 -0.211 0.014 0.081 0
 2     2     4     2     11    12    -42   -12  0.842 2.002 8.832 -0.217 0.005 0.112 0
 2     2     4     2     11    12    -42   -12  0.816 2.320 9.293 -0.233 0.001 0.128 0
 0     -3    -3    -3    16    31    31    7    0.841 2.507 9.695 -0.247 0.008 0.125 0
 0     -3    -3    -3    16    31    31    7    0.910 2.475 10.005 -0.273 0.018 0.111 0
 0     -3    -3    -3    16    31    31    7    1.045 2.297 10.300 -0.324 0.025 0.096 0
